Id,Nombres,Apellidos,Título,Institución,INST,Origen,País,Eje,Sitio,Ponencia,Presentó,Evaluar,Revisa,Calificativo,Puntaje,Resultado
93,Lady Johanna,Bohórquez Sandoval,INFLUENCIA DE LA APLICACIÓN DE ABONOS ORGÁNICOS EN LA DISPONIBILIDAD DE FÓSFORO EN CULTIVO DE PAPA CRIOLLA,Universidad de Murcia,EIDUM,Murcia,España,E3,D19_B-TT2,NO,SI,SI,JCLM,50,0.85,
94,Lucero,Huasasquiche Sarmiento,EFECTO DE LA INOCULACIÓN DE Rhizobium tropici EN DOS VARIEDADES DE FRIJOL (Phaseolus vulgaris L.) BAJO FERTILIZACIÓN REDUCIDA,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E3,D19_B-TT2,NO,SI,SI,JCLM,50,0.76,
95,Liliana,Vega Jara,EVALUACIÒN DEL DESARROLLO Y PRODUCTIVIDAD DE PAPA Y MAÍZ MEDIANTE INOCULACIÓN CON HONGOS MICORRÍZICOS ARBUSCULARES Y FERTILIZACIÓN QUÍMICA,Universidad Nacional Hermilio Valdizán,UNHEVAL,Huánuco,Perú,E3,D19_B-TT2,NO,SI,SI,JCLM,50,0.84,
96,Ashly,Lloclla Chirinos,"APLICACIÓN DE BIOFERTILIZANTE Y SU INFLUENCIA EN EL RENDIMIENTO DE AVENA (Avena sativa L.) EN QUISPICANCHI, CUSCO",Instituto Nacional de Innovación Agraria,INIA,Cusco,Perú,E3,D19_B-TT2,NO,SI,SI,JCLM,50,0.85,
97,Cristhian Damian,Oscco Espinoza,"CARACTERIZACIÓN DE LA PEDODIVERSIDAD DE LOS SUELOS DE LA CUENCA DEL RÍO CAÑETE, PERÚ",Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E4,D20_A-TM,NO,SI,SI,URM,50,0.45,21
98,Carlos Miguel,Carbajal Llosa,MAPEO DIGITAL DE PH Y CONDUCTIVIDAD ELÉCTRICA EN SUELOS DE ECOSISTEMAS ANDINOS USANDO APRENDIZAJE AUTOMÁTICO POR CONJUNTOS,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E4,D20_A-TM,NO,SI,SI,URM,50,0.9,8
99,Erika Janina,Garcia Seguil,EVALUACIÓN DE LA VARIABILIDAD DE FERTILIDAD DEL SUELO PARA LA PRODUCCIÓN DE MAÍZ EN LA SIERRA DEL PERÚ,Instituto Nacional de Innovación Agraria,INIA,Junín,Perú,E4,D20_A-TM,NO,SI,SI,URM,50,0.9,8
100,Carlos,Mattos Mendoza,MAPEO DE LA SALINIDAD DEL SUELO EN ZONAS AGRÍCOLAS DEL VALLE CHANCAY - HUARAL,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E4,D20_A-TM,NO,SI,SI,URM,50,0.75,15
101,Itala,Flores Torres,DESARROLLO DE LA BIBLIOTECA FÍSICA Y ESPECTRAL DE SUELOS PARA LA SIERRA Y SELVA CENTRAL DEL PERÚ,Instituto Nacional de Innovación Agraria,INIA,Huancayo,Perú,E4,D20_B-TM,NO,SI,SI,EDZ,50,0.6,19
102,Joseph Jemel,Sanchez Escalante,ELABORACIÓN DE MONOLITOS Y SU CLASIFICACIÓN TAXONÓMICA EN EL VALLE DE CHANCHAMAYO,Universidad Nacional Daniel Alcides Carrión,UNDAC,Junín,Perú,E4,D20_B-TM,SI,SI,NO,,,,
103,Bherly Patricia,Mezarino Rengifo,"DISTRIBUCIÓN DE SUELOS A TRAVÉS DE UNA TOPOLITOSECUENCIA DE ROCAS SEDIMENTARIAS EN LA PROVINCIA DE LEONCIO PRADO, HUÁNUCO",Universidad Nacional Agraria de la Selva,UNAS,Huánuco,Perú,E4,D20_B-TM,SI,NO,NO,,,,
104,Demetrio Angelo,Lama Isminio,"CHERNOZEMS EN AMBIENTE DE BOSQUE SECO TROPICAL DE LA PROVINCIA DE SAN MARTÍN, PERÚ",Universidad Nacional Toribio Rodríguez de Mendoza,UNTRM,Amazonas,Perú,E4,D20_B-TM,NO,SI,SI,EDZ,80,0.9,8
105,Elizabeth del Rocio,Saavedra Alberca,DE LA GÉNESIS DEL SUELO AL RIESGO AMBIENTAL: SUSCEPTIBILIDAD A LA LIXIVIACIÓN DE NITRATOS EN ARROZALES DE RIOJA,Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E4,D20_B-TM,NO,SI,SI,EDZ,80,0.96,
106,Mariela Judith,Quispe Carhuapoma,"EVALUACIÓN INTEGRADA DE LA EROSIÓN HÍDRICA DEL SUELO CON RUSLE, GEE, SIG, CAJAMARCA-PERÚ",Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E4,D20_B-TM,NO,SI,SI,EDZ,80,0.9,
107,Lane Scott,Zehnder Echevarria,"POTENCIAL DE LA GANADERÍA REGENERATIVA SOBRE LA TRADICIONAL Y SU EFECTO EN LOS SUELOS DE IÑAPARI, MADRE DE DIOS",Cabaña La Fortaleza S.A.C. Asociación Peruana de Criadores de Brangus,La Fortaleza,Lima,Perú,E5,D20_A-TT,NO,SI,SI,OLF,80,0.91,7
108,Russell Hilario,Poma Chamana,"EVALUACIÓN DE COBERTURAS VEGETALES PARA OPTIMIZAR RECURSOS HÍDRICOS, GENERAR BIOMASA Y CONTROLAR MALEZAS EN CAPSICUM PUBESCENS",Instituto Nacional de Innovación Agraria,INIA,Arequipa,Perú,E5,D20_A-TT,NO,SI,SI,OLF,80,0.88,9
109,Russell Hilario,Poma Chamana,Trichoderma viride INMOVILIZADA EN CÁSCARILLA DE ARROZ PARA REDUCIR FERTILIZACIÓN SINTÉTICA EN Capsicum baccatum L. VAR. PENDULUM,Instituto Nacional de Innovación Agraria,INIA,Arequipa,Perú,E5,D20_A-TT,NO,SI,SI,OLF,80,0.85,11
110,Alberto,Arias Arredondo,MEJORA DE SUELOS ÁCIDOS Y RENDIMIENTO DE PASTOS ALTOANDINOS CON BIOCARBÓN DE CUY INOCULADO CON MICROORGANISMOS,Instituto Nacional de Innovación Agraria,INIA,Huancayo,Perú,E5,D20_A-TT,NO,SI,SI,JWS,80,0.85,11
111,Raúl Ericson,Castro Angulo,INFLUENCIA DE LAS BACTERIAS HALÓFILAS PARA LA RECUPERACIÓN DE SUELOS SALINOS,Universidad Privada del Norte,UPN,La Libertad,Perú,E5,D20_A-TT,NO,SI,SI,JWS,80,0.45,21
112,Samuel,Sanabria Quispe,USO DE COBERTURAS VEGETALES PARA REDUCIR LA EROSIÓN Y MEJORAR EL RENDIMIENTO DEL MAÍZ AMILÁCEO (Zea mays L.),Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E5,D20_A-TT,NO,NO,SI,JWS,80,0.9,8
113,Andres Alberto,Azabache Leyton,"FITORREMEDIACIÓN DE SUELOS AGRÍCOLAS CONTAMINADOS CON CADMIO MEDIANTE Zea mays L., MICROORGANISMOS EFICACES Y SILICIO",Universidad Nacional del Centro del Perú,UNCP,Huancayo,Perú,E5,D20_B-TT,NO,SI,SI,ATB,80,0.92,6
114,Ludwin Cristian,Olivera Tacora,"ÁCIDOS HÚMICOS, ALTERNATIVA SOSTENIBLE PARA OPTIMIZAR RENDIMIENTO DE AVENA SATIVA Y MEJORAR LA CALIDAD DEL SUELO ALTOANDINO",Instituto Nacional de Innovación Agraria,INIA,Puno,Perú,E5,D20_B-TT,NO,SI,SI,ATB,80,0.6,19
115,Cledy,Ureta Sierra,BIODEGRADACIÓN ACELERADA DE Jarava ichu MEDIANTE INOCULANTES MICROBIANOS,Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E5,D20_B-TT,NO,SI,SI,ATB,80,0.75,15
